"trial_name","trial_number","response","RT","optionLeft","optionRight","question","QUD","language","id","type","button_under","startDate","startTime","native_language","foreign_language","foreign_dominance","endTime","timeSpent","speaking_native","listening_native","writing_native","speaking_foreign","listening_foreign","writing_foreign","reading_time","listening_time","speaking_time","learning_time","age","gender","education","comments","experiment_id",
"ratingScaleTrial","1","7","10614","keine Vorstellung","eine perfekt klare Vorstellung","Ein Ball auf und ab hüpfend","bla","German","0","visual","Ich verstehe den Satz nicht nicht.","Wed Jul 03 2019 18:27:22 GMT+0200 (Mitteleuropäische Sommerzeit)","1562171242228","German","English","no","1562171361409","1.98635","7","7","7","5","5","5","3","4","2","5","21","weiblich","Abitur","kein kommentar","INSERT_A_NUMBER",
"ratingScaleTrial","2","7","5466","keine Vorstellung","eine perfekt klare Vorstellung","Erdbeeren","bla","German","4","gustatory","Ich verstehe den Satz nicht nicht.","Wed Jul 03 2019 18:27:22 GMT+0200 (Mitteleuropäische Sommerzeit)","1562171242228","German","English","no","1562171361409","1.98635","7","7","7","5","5","5","3","4","2","5","21","weiblich","Abitur","kein kommentar","INSERT_A_NUMBER",
"ratingScaleTrial","3","6","4797","keine Vorstellung","eine perfekt klare Vorstellung","Auf einem Stuhl sitzen","bla","German","3","motor","Ich verstehe den Satz nicht nicht.","Wed Jul 03 2019 18:27:22 GMT+0200 (Mitteleuropäische Sommerzeit)","1562171242228","German","English","no","1562171361409","1.98635","7","7","7","5","5","5","3","4","2","5","21","weiblich","Abitur","kein kommentar","INSERT_A_NUMBER",
"ratingScaleTrial","4","5","5446","keine Vorstellung","eine perfekt klare Vorstellung","Ein Stück Papier","bla","German","2","tactile","Ich verstehe den Satz nicht nicht.","Wed Jul 03 2019 18:27:22 GMT+0200 (Mitteleuropäische Sommerzeit)","1562171242228","German","English","no","1562171361409","1.98635","7","7","7","5","5","5","3","4","2","5","21","weiblich","Abitur","kein kommentar","INSERT_A_NUMBER",
"ratingScaleTrial","5","6","8314","keine Vorstellung","eine perfekt klare Vorstellung","Auf die Straße fallender Regen","bla","German","1","auditory","Ich verstehe den Satz nicht nicht.","Wed Jul 03 2019 18:27:22 GMT+0200 (Mitteleuropäische Sommerzeit)","1562171242228","German","English","no","1562171361409","1.98635","7","7","7","5","5","5","3","4","2","5","21","weiblich","Abitur","kein kommentar","INSERT_A_NUMBER",
"ratingScaleTask","1","6","2834","keine Vorstellung","eine perfekt klare Vorstellung","Den Geruch von Kaffee","bla","German","5","olfactory","Ich verstehe den Satz nicht nicht.","Wed Jul 03 2019 18:27:22 GMT+0200 (Mitteleuropäische Sommerzeit)","1562171242228","German","English","no","1562171361409","1.98635","7","7","7","5","5","5","3","4","2","5","21","weiblich","Abitur","kein kommentar","INSERT_A_NUMBER",
