"trial_name","trial_number","response","RT","optionLeft","optionRight","question","language","id","type","QUD","startDate","startTime","age","gender","education","languages","comments","endTime","timeSpent","experiment_id",
"ratingScaleTrial","1","3","15088","no image","perfectly clear","Imagine running down the stairs","English","4","Motor","","Thu Jun 20 2019 11:30:00 GMT+0200 (Mitteleuropäische Sommerzeit)","1561023000319","21","female","Graduated High School","german","","1561023045441","0.7520333333333333","INSERT_A_NUMBER",
"ratingScaleTrial","2","3","626","no image","perfectly clear","Imagine the seeing a deep blue lake","English","2","visual","","Thu Jun 20 2019 11:30:00 GMT+0200 (Mitteleuropäische Sommerzeit)","1561023000319","21","female","Graduated High School","german","","1561023045441","0.7520333333333333","INSERT_A_NUMBER",
"ratingScaleTrial","3","3","198","no image","perfectly clear","Imagine the taste of sea water","English","0","gustatory","","Thu Jun 20 2019 11:30:00 GMT+0200 (Mitteleuropäische Sommerzeit)","1561023000319","21","female","Graduated High School","german","","1561023045441","0.7520333333333333","INSERT_A_NUMBER",
"ratingScaleTrial","4","3","190","no image","perfectly clear","Imagine the feeling of a headache","English","1","organic","","Thu Jun 20 2019 11:30:00 GMT+0200 (Mitteleuropäische Sommerzeit)","1561023000319","21","female","Graduated High School","german","","1561023045441","0.7520333333333333","INSERT_A_NUMBER",
"ratingScaleTrial","5","3","302","no image","perfectly clear","Imagine hearing a mouse","English","3","auditory","","Thu Jun 20 2019 11:30:00 GMT+0200 (Mitteleuropäische Sommerzeit)","1561023000319","21","female","Graduated High School","german","","1561023045441","0.7520333333333333","INSERT_A_NUMBER",
"ratingScaleTask","1","4","988","no image","perfectly clear","Imagine the taste of an orange","English","5","gustatory","","Thu Jun 20 2019 11:30:00 GMT+0200 (Mitteleuropäische Sommerzeit)","1561023000319","21","female","Graduated High School","german","","1561023045441","0.7520333333333333","INSERT_A_NUMBER",
